name,extension,content_type,expected_bytes,actual_bytes,size_ok,expected_sha256,actual_sha256,sha256_ok,url
Nasa_spotA.png,.png,image/png,1659160,1659160,True,f058e90ce177050ea9840b06c51b7cc7b4970fddbb596f91ada577de167a2e92,f058e90ce177050ea9840b06c51b7cc7b4970fddbb596f91ada577de167a2e92,True,https://roboquestvr-quest3-performance.elliotttate.chatgpt.site/api/downloads/rq3-86269d35efae42dcb8ab6a04/Nasa_spotA.png
Nasa_spotA.rdc,.rdc,application/octet-stream,372858471,372858471,True,b93c4bae8b657368a33c08ef8572106cd27d76798222e3fe0f5181a21bdbefa7,b93c4bae8b657368a33c08ef8572106cd27d76798222e3fe0f5181a21bdbefa7,True,https://roboquestvr-quest3-performance.elliotttate.chatgpt.site/api/downloads/rq3-86269d35efae42dcb8ab6a04/Nasa_spotA.rdc
Nasa_spotA_gpustages.txt,.txt,text/plain; charset=utf-8,444774,444774,True,93fbc4cf44bcd9157edcdeaa413a89a540adf36fd8f68fe4b4e02fbd0c07ba6c,93fbc4cf44bcd9157edcdeaa413a89a540adf36fd8f68fe4b4e02fbd0c07ba6c,True,https://roboquestvr-quest3-performance.elliotttate.chatgpt.site/api/downloads/rq3-86269d35efae42dcb8ab6a04/Nasa_spotA_gpustages.txt
Nasa_spotA_insights.png,.png,image/png,6185108,6185108,True,47722d9334f1c2337dd31fbf1f12722ec025c0b8b24a2a680236a66274be86af,47722d9334f1c2337dd31fbf1f12722ec025c0b8b24a2a680236a66274be86af,True,https://roboquestvr-quest3-performance.elliotttate.chatgpt.site/api/downloads/rq3-86269d35efae42dcb8ab6a04/Nasa_spotA_insights.png
Nasa_spotB.png,.png,image/png,1400595,1400595,True,ac6311d5fdf8a78f701dff2f07ad0f126a625053b53bc180fb282f212b227ccd,ac6311d5fdf8a78f701dff2f07ad0f126a625053b53bc180fb282f212b227ccd,True,https://roboquestvr-quest3-performance.elliotttate.chatgpt.site/api/downloads/rq3-86269d35efae42dcb8ab6a04/Nasa_spotB.png
Nasa_spotB.rdc,.rdc,application/octet-stream,390865860,390865860,True,509cc78ab6ac3f3f0c0da77471fa9c9044b0505d8804b555b2a8188a49af5858,509cc78ab6ac3f3f0c0da77471fa9c9044b0505d8804b555b2a8188a49af5858,True,https://roboquestvr-quest3-performance.elliotttate.chatgpt.site/api/downloads/rq3-86269d35efae42dcb8ab6a04/Nasa_spotB.rdc
Nasa_spotB_gpustages.txt,.txt,text/plain; charset=utf-8,443502,443502,True,4ab96de816daeb60793ea0dd6f6a5f22b3b5a97967f9b2dbf0f353095554cf6b,4ab96de816daeb60793ea0dd6f6a5f22b3b5a97967f9b2dbf0f353095554cf6b,True,https://roboquestvr-quest3-performance.elliotttate.chatgpt.site/api/downloads/rq3-86269d35efae42dcb8ab6a04/Nasa_spotB_gpustages.txt
Nasa_spotB_insights.png,.png,image/png,6255623,6255623,True,115f7eead19cc8af09d05d03ab65fecd5a25db1220cec2e26501015fed4024c0,115f7eead19cc8af09d05d03ab65fecd5a25db1220cec2e26501015fed4024c0,True,https://roboquestvr-quest3-performance.elliotttate.chatgpt.site/api/downloads/rq3-86269d35efae42dcb8ab6a04/Nasa_spotB_insights.png
Oasis_spotA.png,.png,image/png,1681783,1681783,True,9c5623d7e5d304e7275c7d9a1b89ee57ac00e9ab370c4a1d2f582296057f0801,9c5623d7e5d304e7275c7d9a1b89ee57ac00e9ab370c4a1d2f582296057f0801,True,https://roboquestvr-quest3-performance.elliotttate.chatgpt.site/api/downloads/rq3-86269d35efae42dcb8ab6a04/Oasis_spotA.png
Oasis_spotA.rdc,.rdc,application/octet-stream,343255605,343255605,True,49351c819f04007493cb2fdff08458047af8e1c020964339d6cdbd2172780ab8,49351c819f04007493cb2fdff08458047af8e1c020964339d6cdbd2172780ab8,True,https://roboquestvr-quest3-performance.elliotttate.chatgpt.site/api/downloads/rq3-86269d35efae42dcb8ab6a04/Oasis_spotA.rdc
Oasis_spotA_gpustages.txt,.txt,text/plain; charset=utf-8,446259,446259,True,35f37fc7244cb7891ac17baceb02a5dccb72158c6446aa32bcbebaf81d29146c,35f37fc7244cb7891ac17baceb02a5dccb72158c6446aa32bcbebaf81d29146c,True,https://roboquestvr-quest3-performance.elliotttate.chatgpt.site/api/downloads/rq3-86269d35efae42dcb8ab6a04/Oasis_spotA_gpustages.txt
Oasis_spotA_insights.png,.png,image/png,6033273,6033273,True,e3ea102943b3ce304a9b5d981555ba2189fd3d3b77754c6cf04ef249f0f9ae45,e3ea102943b3ce304a9b5d981555ba2189fd3d3b77754c6cf04ef249f0f9ae45,True,https://roboquestvr-quest3-performance.elliotttate.chatgpt.site/api/downloads/rq3-86269d35efae42dcb8ab6a04/Oasis_spotA_insights.png
Oasis_spotB.png,.png,image/png,1172373,1172373,True,a03f67bdf98f7792fe3c96768af8ef9d985c842eec147d22f91f60e17910ffac,a03f67bdf98f7792fe3c96768af8ef9d985c842eec147d22f91f60e17910ffac,True,https://roboquestvr-quest3-performance.elliotttate.chatgpt.site/api/downloads/rq3-86269d35efae42dcb8ab6a04/Oasis_spotB.png
Oasis_spotB.rdc,.rdc,application/octet-stream,352877479,352877479,True,319690140fc3267c22e36794ec43e92bc60204f1464e89274ee13922eab33111,319690140fc3267c22e36794ec43e92bc60204f1464e89274ee13922eab33111,True,https://roboquestvr-quest3-performance.elliotttate.chatgpt.site/api/downloads/rq3-86269d35efae42dcb8ab6a04/Oasis_spotB.rdc
Oasis_spotB_gpustages.txt,.txt,text/plain; charset=utf-8,509326,509326,True,62418358f9090ca82ffefdd8c0a593565fb37c55d3a49bf44f2629f9a4d5a39b,62418358f9090ca82ffefdd8c0a593565fb37c55d3a49bf44f2629f9a4d5a39b,True,https://roboquestvr-quest3-performance.elliotttate.chatgpt.site/api/downloads/rq3-86269d35efae42dcb8ab6a04/Oasis_spotB_gpustages.txt
Oasis_spotB_insights.png,.png,image/png,4421383,4421383,True,1f56cb3335cb439f0658b68af2c5125257393092cb705f62da90a0f83d914657,1f56cb3335cb439f0658b68af2c5125257393092cb705f62da90a0f83d914657,True,https://roboquestvr-quest3-performance.elliotttate.chatgpt.site/api/downloads/rq3-86269d35efae42dcb8ab6a04/Oasis_spotB_insights.png
Purification_Water_0_spotA.png,.png,image/png,1560692,1560692,True,16b26f6c4d2c6ac42be6fd6fc37c76b937e47f2b927b8e387c969726d75759d2,16b26f6c4d2c6ac42be6fd6fc37c76b937e47f2b927b8e387c969726d75759d2,True,https://roboquestvr-quest3-performance.elliotttate.chatgpt.site/api/downloads/rq3-86269d35efae42dcb8ab6a04/Purification_Water_0_spotA.png
Purification_Water_0_spotA.rdc,.rdc,application/octet-stream,332468349,332468349,True,1bc12f891ccfd47f949664a7274b602c7b69ad89cb782a340262a28535035f74,1bc12f891ccfd47f949664a7274b602c7b69ad89cb782a340262a28535035f74,True,https://roboquestvr-quest3-performance.elliotttate.chatgpt.site/api/downloads/rq3-86269d35efae42dcb8ab6a04/Purification_Water_0_spotA.rdc
Purification_Water_0_spotA_gpustages.txt,.txt,text/plain; charset=utf-8,380913,380913,True,f5c0c1c201decadf59b1ee85056ca015f8744e8fdb863dbad065a9b752e56a23,f5c0c1c201decadf59b1ee85056ca015f8744e8fdb863dbad065a9b752e56a23,True,https://roboquestvr-quest3-performance.elliotttate.chatgpt.site/api/downloads/rq3-86269d35efae42dcb8ab6a04/Purification_Water_0_spotA_gpustages.txt
Purification_Water_0_spotA_insights.png,.png,image/png,8446552,8446552,True,831800805424ece8c03b913fe323b0ffb9a1f544f44e745da27b8824149f78c6,831800805424ece8c03b913fe323b0ffb9a1f544f44e745da27b8824149f78c6,True,https://roboquestvr-quest3-performance.elliotttate.chatgpt.site/api/downloads/rq3-86269d35efae42dcb8ab6a04/Purification_Water_0_spotA_insights.png
Purification_Water_0_spotB.png,.png,image/png,651424,651424,True,874d635176e3da7e3098c3fd6603644d93643d85dfa4cdca377aa7f387e6a0ed,874d635176e3da7e3098c3fd6603644d93643d85dfa4cdca377aa7f387e6a0ed,True,https://roboquestvr-quest3-performance.elliotttate.chatgpt.site/api/downloads/rq3-86269d35efae42dcb8ab6a04/Purification_Water_0_spotB.png
Purification_Water_0_spotB.rdc,.rdc,application/octet-stream,313633553,313633553,True,d0879c1ddc217569b813167300c972b725514ef8de4a8efac893ec0fc1bffa2b,d0879c1ddc217569b813167300c972b725514ef8de4a8efac893ec0fc1bffa2b,True,https://roboquestvr-quest3-performance.elliotttate.chatgpt.site/api/downloads/rq3-86269d35efae42dcb8ab6a04/Purification_Water_0_spotB.rdc
Purification_Water_0_spotB_gpustages.txt,.txt,text/plain; charset=utf-8,436277,436277,True,2220e743fcd19e85395c776ce8851acf3ee51fe33c2a779a1c5f1818c50a44d8,2220e743fcd19e85395c776ce8851acf3ee51fe33c2a779a1c5f1818c50a44d8,True,https://roboquestvr-quest3-performance.elliotttate.chatgpt.site/api/downloads/rq3-86269d35efae42dcb8ab6a04/Purification_Water_0_spotB_gpustages.txt
Purification_Water_0_spotB_insights.png,.png,image/png,4215149,4215149,True,d0970f26d508f59faaeeecdb915b92a16e262e5568a180b22084bc40a32aa649,d0970f26d508f59faaeeecdb915b92a16e262e5568a180b22084bc40a32aa649,True,https://roboquestvr-quest3-performance.elliotttate.chatgpt.site/api/downloads/rq3-86269d35efae42dcb8ab6a04/Purification_Water_0_spotB_insights.png
Purification_Water_1_spotA.png,.png,image/png,1559512,1559512,True,cc3fd7625e186d5ba26959469e8b814e74c8370f0cf75beebece4ade0b16086a,cc3fd7625e186d5ba26959469e8b814e74c8370f0cf75beebece4ade0b16086a,True,https://roboquestvr-quest3-performance.elliotttate.chatgpt.site/api/downloads/rq3-86269d35efae42dcb8ab6a04/Purification_Water_1_spotA.png
Purification_Water_1_spotA.rdc,.rdc,application/octet-stream,294234689,294234689,True,098e97e198ac0dfd26439a641cdff5e4984304931dd116b737d0b57c5c048647,098e97e198ac0dfd26439a641cdff5e4984304931dd116b737d0b57c5c048647,True,https://roboquestvr-quest3-performance.elliotttate.chatgpt.site/api/downloads/rq3-86269d35efae42dcb8ab6a04/Purification_Water_1_spotA.rdc
Purification_Water_1_spotA_gpustages.txt,.txt,text/plain; charset=utf-8,398751,398751,True,9c360e3da3f6527ccea452a5f5a2802c20eff760dfff0d1cc77e9b33f6b4d086,9c360e3da3f6527ccea452a5f5a2802c20eff760dfff0d1cc77e9b33f6b4d086,True,https://roboquestvr-quest3-performance.elliotttate.chatgpt.site/api/downloads/rq3-86269d35efae42dcb8ab6a04/Purification_Water_1_spotA_gpustages.txt
Purification_Water_1_spotA_insights.png,.png,image/png,8185569,8185569,True,631126a9d0cdce06460b4c22e8cdfa9675220272c4765fe26e34356a61abb0e6,631126a9d0cdce06460b4c22e8cdfa9675220272c4765fe26e34356a61abb0e6,True,https://roboquestvr-quest3-performance.elliotttate.chatgpt.site/api/downloads/rq3-86269d35efae42dcb8ab6a04/Purification_Water_1_spotA_insights.png
Purification_Water_1_spotB.png,.png,image/png,715625,715625,True,59bcdd44abd4f5f2c4b1a42926181b0e75a1c8775fe29ec488cf1800c0317808,59bcdd44abd4f5f2c4b1a42926181b0e75a1c8775fe29ec488cf1800c0317808,True,https://roboquestvr-quest3-performance.elliotttate.chatgpt.site/api/downloads/rq3-86269d35efae42dcb8ab6a04/Purification_Water_1_spotB.png
Purification_Water_1_spotB.rdc,.rdc,application/octet-stream,268616008,268616008,True,183670a5f8736b62236cba66fc9b4f73986ec27bd6b9f7fd6fc2ad5970a1ca0b,183670a5f8736b62236cba66fc9b4f73986ec27bd6b9f7fd6fc2ad5970a1ca0b,True,https://roboquestvr-quest3-performance.elliotttate.chatgpt.site/api/downloads/rq3-86269d35efae42dcb8ab6a04/Purification_Water_1_spotB.rdc
