level,thread_group,timer,avg_ms_per_call,inclusive_ms_per_frame,median_ms_per_call,max_ms_per_call,calls_per_frame
Purification_Water_1,GameThread,Blueprint ReceiveTick,0.02,0.72,0.0,3.7,38.3
Purification_Water_1,GameThread,Widget updates,,,,,
Purification_Water_1,GameThread,Slate prepass,,,,,
Purification_Water_1,RenderThread,InitViews (visibility),0.38,2.26,0.0,7.8,5.9
Purification_Water_1,RenderThread,Primitive scene infos,0.6,1.8,0.07,6.0,3.0
Purification_Water_1,RenderThread,MobileBasePass,0.64,1.29,0.49,47.5,2.0
Purification_Water_1,RenderThread,Slate render,0.04,0.9,0.04,4.4,20.7
Purification_Water_1,RenderThread,RenderFinish,0.04,0.13,0.03,2.7,3.0
Purification_Water_1,RenderThread,BeginFrame,0.17,0.17,0.03,8.7,1.0
Road_1,GameThread,FEngineLoop::Tick (total frame),14.36,14.36,13.98,268.2,1.0
Road_1,GameThread,WaitFrame (pacing),4.22,4.22,3.93,42.6,1.0
Road_1,GameThread,UWorld tick,7.06,7.06,7.45,76.2,1.0
Road_1,GameThread,Component ticks,0.03,3.38,0.0,8.1,136.7
Road_1,GameThread,Skinned mesh (animation),0.03,0.39,0.03,3.0,11.6
Road_1,GameThread,Blueprint ReceiveTick,0.01,0.64,0.0,5.0,41.5
Road_1,GameThread,Widget updates,,,,,
Road_1,GameThread,Slate prepass,,,,,
Road_1,RenderThread,InitViews (visibility),0.31,1.77,0.0,9.8,5.8
Road_1,RenderThread,Primitive scene infos,0.51,1.53,0.01,19.1,3.0
Road_1,RenderThread,MobileBasePass,0.48,0.96,0.43,7.8,2.0
Road_1,RenderThread,Slate render,0.04,0.97,0.0,7.7,22.2
Road_1,RenderThread,RenderFinish,0.04,0.11,0.03,2.3,3.0
Road_1,RenderThread,BeginFrame,0.09,0.09,0.03,9.7,1.0
